選手,登板,勝利,敗北,セーブ,ホールド,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,故意四,死球,三振,暴投,ボーク,失点,自責点,防御率
小孫　竜二,1,0,0,0,0,0,0,0,0,0,6,1.2,2,0,0,0,0,3,0,0,0,0,0
今野　龍太,42,1,2,0,5,6,0,0,0,0.333,181,42.1,33,4,18,1,3,22,2,0,17,17,3.61
坂井　陽翔,1,0,0,0,0,0,0,0,0,0,20,5,4,0,1,0,0,5,0,0,1,1,1.8
柴田　大地,6,1,0,0,0,1,0,0,0,1,38,8.2,8,1,6,0,0,6,0,0,2,2,2.08
荘司　康誠,13,4,4,0,0,0,0,0,0,0.5,315,76.1,65,4,25,0,5,70,4,0,26,26,3.07
*鈴木　翔天,46,2,4,5,19,21,0,0,0,0.333,172,42,33,2,15,0,0,52,1,0,12,11,2.36
宋　家豪,10,1,0,1,2,3,0,0,0,1,39,9.2,10,2,2,0,0,5,0,0,4,4,3.72
*ターリー,2,0,0,0,0,0,0,0,0,0,7,1.1,2,0,1,0,0,1,0,0,1,1,6.75
*泰　勝利,6,1,0,0,0,1,0,0,0,1,29,6.1,7,0,3,0,1,14,0,0,1,0,0
瀧中　瞭太,15,4,9,0,0,0,1,1,1,0.308,364,83.2,83,9,21,0,6,50,0,0,41,32,3.44
津留﨑　大成,17,0,0,0,1,1,0,0,0,0,122,27.1,30,2,7,0,3,26,2,0,14,11,3.62
中込　陽翔,7,0,0,0,0,0,0,0,0,0,32,6.2,6,0,6,1,0,3,0,0,4,4,5.4
西垣　雅矢,63,7,1,0,14,21,0,0,0,0.875,240,59.2,39,4,22,2,5,64,2,0,14,13,1.96
西口　直人,52,3,1,1,31,34,0,0,0,0.75,192,50.2,29,3,13,1,0,70,2,0,6,6,1.07
則本　昂大,56,3,4,16,10,13,0,0,0,0.429,248,56,60,4,20,0,2,43,0,0,19,19,3.05
ハワード,9,5,1,0,0,0,0,0,0,0.833,196,48.2,42,1,11,0,2,36,0,1,13,12,2.22
*早川　隆久,12,2,8,0,0,0,0,0,0,0.2,290,68.1,67,10,20,0,1,62,3,1,35,33,4.35
*林　優樹,1,0,0,0,0,0,0,0,0,0,6,1.1,0,0,1,0,1,3,1,0,0,0,0
日當　直喜,1,1,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0,0
*藤井　聖,22,6,7,0,0,0,0,0,0,0.462,483,109.2,121,9,43,0,6,58,0,0,46,39,3.2
