Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR2
206,정우영,25,-0.11,4,0,4,1,0,0,0,0,0,0,2.2,6,6,3.25,13,1,0,0,1,4,1,0,3,0,0,0,20.25,20.25,10.97,11.6,11.57,1.88,-0.11
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,이병헌,25,-0.12,22,0,22,2,0,0,0,0,0,4,13,9,9,9.3,56,11,1,0,1,10,0,2,9,0,0,0,6.23,6.23,6.44,6.54,5.07,1.62,-0.12
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,주현상,25,-0.12,48,0,48,10,0,0,5,2,1,3,41.2,24,25,27.75,193,59,14,2,8,10,3,0,37,2,0,1,5.18,5.4,5.99,6.05,4.98,1.66,-0.12
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,김동현,25,-0.12,3,0,3,2,0,0,0,0,0,0,3.1,5,5,5,19,7,0,0,2,3,0,0,4,0,0,3,13.5,13.5,13.5,12.85,10.94,3,-0.12
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,오승환,25,-0.13,12,0,12,4,0,0,0,0,0,0,9,8,8,7.35,45,15,5,0,1,3,0,0,7,0,0,1,8,8,7.35,7.66,4.36,2,-0.13
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,홍원빈,25,-0.13,2,0,2,1,0,0,0,0,0,0,1.2,5,5,3.45,11,2,0,0,0,4,0,0,1,0,0,2,27,27,18.63,19.86,10.1,3.6,-0.13
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,최준호,25,-0.13,9,3,6,2,0,0,1,2,0,0,16,15,15,14.15,74,18,5,0,4,9,2,0,11,0,0,2,8.44,8.44,7.96,7.73,7.37,1.69,-0.13
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,이준영,25,-0.14,57,0,57,5,0,0,3,1,0,7,34,18,18,22.95,145,36,10,0,6,11,1,2,34,4,0,1,4.76,4.76,6.08,6.18,4.55,1.38,-0.14
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,윤태호,25,-0.14,10,1,9,2,0,0,0,1,0,1,17.1,13,14,13.5,73,16,6,0,2,5,0,0,16,1,0,2,6.75,7.27,7.01,7.21,3.91,1.21,-0.14
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,김민주,25,-0.14,3,0,3,0,0,0,0,0,0,0,3,4,4,3.85,17,4,1,1,0,2,2,0,2,0,0,0,12,12,11.55,12.3,6.52,2,-0.14
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,김유성,25,-0.14,7,4,3,1,0,0,0,2,0,0,17.1,17,17,15.6,85,17,2,0,3,14,4,0,22,0,0,1,8.83,8.83,8.1,7.99,6.13,1.79,-0.14
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,윤석원,25,-0.15,37,0,37,10,0,0,1,1,0,8,37.1,23,23,23.05,160,41,9,3,3,12,2,2,27,0,0,0,5.54,5.54,5.56,6.16,4.18,1.42,-0.15
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,최지민,25,-0.15,66,0,66,10,0,0,2,4,0,9,53.1,39,40,35.15,253,46,7,1,5,51,4,0,39,3,0,4,6.58,6.75,5.93,6.08,6.51,1.82,-0.15
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,하준영,25,-0.15,10,0,10,2,0,0,1,1,0,1,5.1,4,4,4.7,33,10,4,0,0,7,0,1,5,1,0,0,6.75,6.75,7.93,7.82,5.17,3.19,-0.15
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,손힘찬,25,-0.16,4,0,4,2,0,0,0,0,0,0,4,5,5,4.65,22,5,2,0,0,4,1,0,4,0,0,1,11.25,11.25,10.46,12.6,5.42,2.25,-0.16
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,정민성,25,-0.17,1,1,0,0,0,0,0,1,0,0,1,4,4,4,7,3,2,1,0,0,2,0,0,0,0,1,36,36,36,31.14,10.32,3,-0.17
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,이성원,25,-0.18,4,0,4,2,0,0,0,0,0,0,2.2,5,7,5.45,19,3,1,0,0,4,3,0,3,1,0,0,16.88,23.63,18.39,19,9.51,2.63,-0.18
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,김승일,25,-0.18,5,0,5,2,0,0,0,0,0,0,2.2,7,7,5.65,17,3,0,0,1,3,3,0,3,0,0,1,23.63,23.63,19.07,18.89,12.77,2.25,-0.18
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,엄상백,25,-0.19,28,16,12,0,0,0,2,7,0,1,80.2,59,60,59.85,379,106,18,3,13,38,8,0,74,0,0,3,6.58,6.69,6.68,6.81,5.37,1.79,-0.19
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,김명신,25,-0.2,8,0,8,1,0,0,0,0,0,0,8.1,5,8,8.7,43,13,3,1,0,3,1,0,6,1,0,1,5.4,8.64,9.4,9.33,3.65,1.92,-0.2
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,신영우,25,-0.2,8,3,5,2,0,0,1,3,0,0,14.1,12,13,13.15,68,8,2,0,2,16,3,0,19,0,0,4,7.53,8.16,8.26,8.01,6.51,1.67,-0.2
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,박준우,25,-0.21,11,1,10,1,0,0,1,2,0,1,12.1,11,11,11.65,64,21,3,1,0,6,1,0,11,0,0,0,8.03,8.03,8.5,7.96,3.51,2.19,-0.21
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,이정현,25,-0.22,6,0,6,6,0,0,0,0,0,0,4.1,8,8,8,27,9,3,0,0,4,1,0,3,0,0,0,16.62,16.62,16.62,15.86,5.88,3,-0.22
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,구승민,25,-0.22,11,0,11,5,0,0,0,1,0,1,9,7,10,9,45,9,1,1,1,7,1,0,10,1,0,0,7,10,9,9.32,5.31,1.78,-0.22
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,김동규,25,-0.22,9,0,9,6,0,0,0,0,0,0,8,6,11,11,49,13,1,0,2,11,0,0,10,1,0,4,6.75,12.38,12.38,11.21,8.17,3,-0.22
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,김유영,25,-0.23,6,0,6,4,0,0,0,0,0,0,4.1,6,6,7.55,26,8,3,0,0,4,1,0,5,0,0,0,12.46,12.46,15.68,14.89,4.73,2.77,-0.23
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,곽도규,25,-0.24,9,0,9,1,0,0,0,0,0,3,4,6,6,4.3,22,3,0,0,0,6,2,0,5,0,0,1,13.5,13.5,9.68,9.94,7.19,2.25,-0.24
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,김호준,25,-0.24,19,0,19,3,0,0,0,1,0,1,10.2,8,11,9.8,54,14,3,0,2,7,0,1,7,2,0,1,6.75,9.28,8.27,8.66,6.61,1.97,-0.24
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,김성민,25,-0.25,29,0,29,5,0,0,0,3,0,1,25,13,15,17.05,113,25,3,3,1,13,5,1,18,1,0,0,4.68,5.4,6.14,6.54,4.77,1.52,-0.25
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,정현우,25,-0.26,18,18,0,0,0,0,3,7,0,0,81.1,53,63,60.25,384,92,20,0,8,48,6,0,55,7,2,4,5.86,6.97,6.67,6.9,5.52,1.72,-0.26
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,정동윤,25,-0.26,12,0,12,7,0,0,0,0,0,0,17.1,16,16,16.35,82,21,6,0,2,12,0,0,17,0,0,1,8.31,8.31,8.49,8.73,5.06,1.9,-0.26
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,김태훈,25,-0.27,18,0,18,8,0,0,0,0,0,0,19,11,15,17.05,94,17,2,0,4,16,1,0,9,4,0,5,5.21,7.11,8.08,7.78,8.1,1.74,-0.27
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,정세영,25,-0.28,4,1,3,1,0,0,0,1,0,0,2.2,5,6,6,22,9,2,0,0,4,0,0,2,1,0,1,16.88,20.25,20.25,23.01,6.84,4.88,-0.28
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,성동현,25,-0.28,12,0,12,6,0,0,0,0,0,0,9,9,9,9.65,45,10,0,0,2,9,0,0,6,0,0,1,9,9,9.65,10.07,8.1,2.11,-0.28
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,이상규,25,-0.29,5,0,5,4,0,0,0,1,0,0,9,8,9,9.5,47,16,2,1,0,4,0,0,5,1,0,0,8,9,9.5,9.58,3.95,2.22,-0.29
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,김선기,25,-0.29,44,8,36,7,0,0,1,7,0,2,78,49,55,51.2,381,96,17,0,6,47,11,1,43,4,0,2,5.65,6.35,5.91,6.54,5.79,1.83,-0.29
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,최충연,25,-0.3,4,0,4,1,0,0,0,0,0,0,1.2,7,8,6.3,15,7,1,0,1,2,1,0,1,0,0,0,37.8,43.2,34.02,33.86,15.32,5.4,-0.3
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,손현기,25,-0.3,2,0,2,0,0,0,0,0,0,0,3,5,5,5.35,18,4,1,0,1,6,1,0,1,0,0,1,15,15,16.05,19.33,14.52,3.33,-0.3
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,벨라스케즈,25,-0.31,11,7,4,1,0,0,1,4,0,0,35,32,32,31.5,168,47,10,1,7,18,3,0,28,0,2,1,8.23,8.23,8.1,7.8,6.22,1.86,-0.31
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,최동환,25,-0.32,20,0,20,9,0,0,1,1,0,0,18.2,18,19,19,91,27,5,1,4,12,1,2,9,0,0,0,8.68,9.16,9.16,8.87,7.32,2.09,-0.32
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,이강준,25,-0.33,29,0,29,3,0,0,0,3,0,2,24.2,18,22,18.9,119,29,5,0,3,17,2,0,26,3,0,2,6.57,8.03,6.9,7.78,5.2,1.86,-0.33
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,최우석,25,-0.34,12,0,12,4,0,0,0,0,0,0,14.1,13,16,17.9,75,23,5,0,1,9,0,0,15,1,0,5,8.16,10.05,11.24,10.96,4.14,2.23,-0.34
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,박세현,25,-0.35,3,0,3,3,0,0,0,0,0,0,3.2,6,6,6.7,21,8,5,0,1,1,1,0,4,0,0,0,14.73,14.73,16.45,15.28,6.18,2.45,-0.35
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,이의리,25,-0.36,10,10,0,0,0,0,1,4,0,0,39.2,35,37,34.25,193,41,9,3,6,31,3,0,42,2,0,1,7.94,8.39,7.77,7.91,5.81,1.82,-0.36
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,강건,25,-0.39,2,1,1,1,0,0,0,1,0,0,3.2,10,10,10.5,26,7,2,0,1,7,1,0,1,0,0,0,24.55,24.55,25.77,24.53,13.46,3.82,-0.39
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,박정훈,25,-0.42,16,3,13,8,0,0,0,1,1,0,23,19,24,21.6,116,24,6,0,1,20,4,0,7,3,0,3,7.43,9.39,8.45,8.98,7.01,1.91,-0.42
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,이용찬,25,-0.44,12,3,9,1,0,0,1,2,0,1,15.1,18,18,17.8,83,23,4,0,1,12,4,1,14,0,0,2,10.57,10.57,10.45,9.71,5.75,2.28,-0.44
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,이승현,25,-0.46,42,0,42,7,0,0,2,1,0,11,35.2,25,26,30.75,161,43,7,0,9,11,1,1,29,0,0,1,6.31,6.56,7.76,7.03,5.88,1.51,-0.46
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,김서준,25,-0.46,4,0,4,2,0,0,0,0,0,0,5.1,12,12,12,34,14,5,0,2,5,0,0,4,0,0,1,20.25,20.25,20.25,21.57,9.51,3.56,-0.46
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,임기영,25,-0.48,10,0,10,2,0,0,1,1,0,0,9,13,13,13.85,52,23,4,0,2,4,0,0,5,0,0,0,13,13,13.85,14,6.6,3,-0.48
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,한재승,25,-0.49,36,0,36,8,0,0,1,0,1,1,33.1,24,29,29.5,161,40,4,0,5,31,1,0,35,0,0,4,6.48,7.83,7.97,7.81,6.15,2.13,-0.49
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,이준혁,25,-0.5,25,3,22,5,0,0,1,3,0,0,37,30,33,32.1,170,43,7,1,8,20,6,2,30,0,0,4,7.3,8.03,7.81,7.51,6.54,1.7,-0.5
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,박주성,25,-0.51,18,6,12,5,0,0,2,3,0,1,52,38,40,41.4,235,63,11,2,9,16,3,0,26,2,0,2,6.58,6.92,7.17,7.66,5.9,1.52,-0.51
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,조영건,25,-0.51,51,6,45,16,0,0,5,5,8,7,77.2,49,51,51.85,353,84,18,1,12,38,4,0,47,3,0,5,5.68,5.91,6.01,6.65,5.97,1.57,-0.51
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,김상수,25,-0.52,45,0,45,14,0,0,0,1,2,3,36.2,26,26,31.35,180,48,10,0,4,18,3,2,27,3,0,1,6.38,6.38,7.7,7.48,5.03,1.8,-0.52
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,김연주,25,-0.52,20,8,12,1,0,0,1,3,0,0,51.2,38,40,42.1,250,67,14,2,10,25,6,2,28,4,0,0,6.62,6.97,7.33,7.81,6.73,1.78,-0.52
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,박시영,25,-0.54,11,0,11,2,0,0,1,0,0,0,7.1,9,9,8.65,42,9,4,0,0,9,2,0,10,0,0,0,11.05,11.05,10.62,11.45,5.31,2.45,-0.54
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,최성영,25,-0.54,35,6,29,2,0,0,2,2,0,4,47.2,33,33,38.1,228,62,13,2,6,28,3,1,33,2,1,2,6.23,6.23,7.19,7.08,5.7,1.89,-0.54
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,임진묵,25,-0.55,4,0,4,2,0,0,0,0,0,0,3.2,10,11,9.6,28,10,2,1,0,5,1,0,3,1,0,1,24.55,27,23.56,26.2,7.11,4.09,-0.55
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,최지강,25,-0.56,39,0,39,9,0,0,2,5,0,5,32.2,23,25,25.35,149,41,5,0,3,13,2,1,38,0,0,3,6.34,6.89,6.98,7.38,3.47,1.65,-0.56
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,이호민,25,-0.67,13,0,13,6,0,0,1,0,0,0,14.2,14,14,17.8,72,21,5,0,0,9,2,1,7,0,0,0,8.59,8.59,10.92,11.6,4.91,2.05,-0.67
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,이형범,25,-0.71,12,0,12,5,0,0,0,0,0,0,10,13,16,18.05,56,21,6,1,0,5,0,1,6,1,0,0,11.7,14.4,16.25,15.67,3.7,2.6,-0.71
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,양지율,25,-0.72,18,0,18,4,0,0,0,2,0,1,14,13,13,14,69,18,1,2,3,7,3,0,10,0,0,1,8.36,8.36,9,10.63,6.97,1.79,-0.72
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,김시훈,25,-0.72,24,0,24,10,0,0,1,0,0,1,25.2,23,25,27.8,118,33,6,0,7,10,0,1,18,2,0,0,8.06,8.77,9.75,9.63,6.53,1.68,-0.72
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,박윤성,25,-0.73,54,0,54,11,0,0,0,5,1,6,51.2,26,31,37.7,226,55,12,0,9,19,1,0,40,2,1,4,4.53,5.4,6.57,6.93,5.29,1.43,-0.73
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,김진욱,25,-0.73,14,6,8,0,0,0,1,3,0,0,27,30,32,32.7,136,42,6,0,10,16,2,0,24,1,0,0,10,10.67,10.9,10.06,8.24,2.15,-0.73
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,김재열,25,-0.73,22,0,22,10,0,0,0,1,0,2,21.2,15,16,23.55,111,32,6,1,5,16,1,1,16,1,0,2,6.23,6.65,9.78,9.62,7.33,2.22,-0.73
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,김건국,25,-0.75,26,6,20,6,0,0,0,3,0,1,46,35,38,40.45,216,59,9,0,11,17,5,0,31,3,0,3,6.85,7.43,7.91,8.08,6.61,1.65,-0.75
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,김태경,25,-0.83,6,4,2,0,0,0,0,0,0,1,11,13,20,19.65,62,18,3,0,4,9,2,1,10,1,0,1,10.64,16.36,16.08,15,8.88,2.45,-0.83
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,김윤하,25,-0.84,19,18,1,0,0,0,0,12,0,0,88,60,76,68.95,422,113,18,2,16,44,3,1,52,8,0,2,6.14,7.77,7.05,7.86,6.31,1.78,-0.84
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,임정호,25,-0.87,31,0,31,3,0,0,1,1,0,4,18.2,10,13,18.85,88,18,3,1,3,9,4,1,15,2,0,1,4.82,6.27,9.09,9.02,5.88,1.45,-0.87
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,이준우,25,-1.14,31,0,31,4,0,0,1,4,0,3,23,22,23,26.15,118,37,7,1,6,12,1,0,22,2,0,0,8.61,9,10.23,10.89,5.92,2.13,-1.14
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,고효준,25,-1.17,45,0,45,2,0,0,2,1,0,9,21,16,16,22.5,104,29,2,1,4,14,1,1,19,0,0,4,6.86,6.86,9.64,9.87,6.06,2.05,-1.17
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,전준표,25,-1.18,21,1,20,4,0,0,2,2,0,1,20.1,20,22,24.05,114,33,8,0,2,19,3,3,15,1,0,3,8.85,9.74,10.65,10.89,6.55,2.56,-1.18
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,윤현,25,-1.49,17,3,14,0,0,0,2,1,0,0,22,21,28,29.15,125,31,4,1,2,23,5,0,15,5,0,5,8.59,11.45,11.93,13.74,7.37,2.45,-1.49
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,원종현,25,-1.66,61,0,61,13,0,0,2,4,5,11,54.1,37,42,44.55,248,68,8,2,5,18,3,2,40,2,0,6,6.13,6.96,7.38,7.9,4.29,1.58,-1.66
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
