Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR2
44,문승원,25,1.51,23,21,2,0,0,0,4,7,0,0,105.1,60,61,58.45,452,109,23,3,16,38,5,0,61,5,0,4,5.13,5.21,4.99,4.85,5.58,1.4,1.51
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,김영우,25,1.5,66,0,66,11,0,0,3,2,1,7,60,16,17,21.8,255,49,13,0,2,30,3,2,56,1,0,5,2.4,2.55,3.27,3.43,3.64,1.32,1.5
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,최민석,25,1.43,17,15,2,0,0,0,3,3,0,0,77.2,38,41,37.9,333,72,15,1,7,34,5,1,53,3,1,5,4.4,4.75,4.39,4.49,4.85,1.36,1.43
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,하영민,25,1.41,28,28,0,0,0,0,7,14,0,0,153.1,85,90,86.1,669,169,29,3,13,41,9,1,134,8,0,7,4.99,5.28,5.05,5.36,3.79,1.37,1.41
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,이승현,25,1.39,25,23,2,0,0,0,4,9,0,0,101.1,61,64,60.4,471,121,23,2,10,46,9,0,74,6,0,2,5.42,5.68,5.36,4.93,5,1.65,1.39
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,김진호,25,1.38,76,0,76,11,0,0,4,3,6,20,72.1,27,30,33.3,316,53,12,1,5,45,9,1,70,2,1,9,3.36,3.73,4.14,4.11,4.67,1.35,1.38
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,전상현,25,1.36,74,0,74,5,0,0,7,5,1,25,70,26,30,31.35,290,64,15,0,4,20,2,3,50,4,0,3,3.34,3.86,4.03,4.17,3.73,1.2,1.36
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,주승우,25,1.35,42,0,42,25,0,0,2,2,16,5,44,12,13,14.35,179,35,1,0,7,17,2,0,35,3,0,1,2.45,2.66,2.94,3.32,5.21,1.18,1.35
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,김건우,25,1.35,35,13,22,5,0,0,5,4,0,2,66,28,31,30.3,301,53,14,0,2,49,7,1,68,5,0,4,3.82,4.23,4.13,4.08,4.37,1.55,1.35
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
