Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR2
223,김준상,25,-0.14,9,-0.03,-0.11,17,16,15,1,3,1,0,0,4,0,0,0,0,1,0,8,0,1,0,0.2,0.25,0.267,0.517,0.037,32.9,-0.14
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,이영빈,25,-0.14,44,-0.06,-0.08,75,74,72,12,15,1,1,3,27,9,1,0,1,0,0,35,1,1,1,0.208,0.216,0.375,0.591,0.051,42.3,-0.14
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,양우현,25,-0.15,14,-0.13,-0.01,16,16,16,3,3,1,0,0,4,4,0,0,0,0,0,2,0,0,0,0.188,0.188,0.25,0.438,-0.004,-2.8,-0.15
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,박민,25,-0.15,71,-0.21,0.06,105,102,94,11,19,5,0,1,27,6,1,0,5,3,0,33,1,3,0,0.202,0.265,0.287,0.552,0.055,47,-0.15
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,심재훈,25,-0.15,31,-0.16,0.01,43,42,38,8,7,0,0,0,7,2,3,1,4,0,0,13,0,1,0,0.184,0.262,0.184,0.446,0.029,22.7,-0.15
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,김민혁,25,-0.15,106,0.26,-0.42,417,412,380,52,109,12,2,0,125,35,11,3,25,7,1,41,12,4,1,0.287,0.341,0.329,0.67,0.102,84.2,-0.15
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,황대인,25,-0.16,18,-0.35,0.19,57,57,53,3,10,3,0,1,16,8,0,0,3,0,0,14,0,0,1,0.189,0.228,0.302,0.53,0.039,32.6,-0.16
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,노진혁,25,-0.16,28,0.23,-0.39,69,69,63,11,17,1,2,1,25,5,0,0,5,1,0,20,0,0,0,0.27,0.333,0.397,0.73,0.123,98.6,-0.16
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,강진성,25,-0.16,6,-0.1,-0.06,13,13,11,1,2,0,0,0,2,1,0,0,2,0,0,1,2,0,0,0.182,0.308,0.182,0.49,0.062,60.5,-0.16
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,김수윤,25,-0.16,7,-0.16,-0.01,12,12,11,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0.091,0.167,0.091,0.258,-0.05,-43.2,-0.16
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,맥브룸,25,-0.17,22,-0.26,0.1,80,78,74,8,15,3,0,4,30,11,0,0,5,1,2,28,2,0,0,0.203,0.263,0.405,0.668,0.078,62.8,-0.17
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,서유신,25,-0.18,6,-0.13,-0.05,8,8,7,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0.125,0,0.125,-0.079,-78.4,-0.18
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,윤준혁,25,-0.18,28,-0.32,0.14,18,17,17,4,1,1,0,0,2,0,1,0,0,0,0,5,0,1,0,0.059,0.059,0.118,0.177,-0.105,-83.3,-0.18
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,안인산,25,-0.18,4,-0.18,0,7,7,6,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,-0.17,-133.2,-0.18
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,고승완,25,-0.18,17,-0.06,-0.12,11,11,10,5,2,0,0,0,2,0,2,1,1,0,0,5,0,0,0,0.2,0.273,0.2,0.473,0.038,31.7,-0.18
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,석정우,25,-0.18,27,0.29,-0.47,54,54,49,3,13,1,0,2,20,4,0,0,4,1,0,18,1,0,0,0.265,0.333,0.408,0.741,0.125,100,-0.18
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,한승현,25,-0.18,19,-0.34,0.16,19,19,17,1,1,0,0,0,1,1,1,1,1,0,0,6,0,0,1,0.059,0.105,0.059,0.164,-0.091,-71.1,-0.18
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,박헌,25,-0.2,8,-0.14,-0.06,14,14,12,0,1,0,0,0,1,0,0,0,1,1,0,3,0,0,0,0.083,0.214,0.083,0.297,-0.016,-14,-0.2
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,손성빈,25,-0.2,51,-0.42,0.22,69,67,62,6,9,0,0,1,12,3,0,0,4,1,0,20,1,2,0,0.145,0.209,0.194,0.403,0.002,1.7,-0.2
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,신윤후,25,-0.21,12,-0.19,-0.02,13,12,12,1,2,0,0,0,2,0,1,0,0,0,0,3,0,1,0,0.167,0.167,0.167,0.334,-0.04,-31,-0.21
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,천현재,25,-0.21,3,-0.2,-0.02,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.17,-151,-0.21
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,이용규,25,-0.22,14,-0.11,-0.11,41,40,37,7,8,1,0,0,9,0,1,0,3,0,0,8,1,1,0,0.216,0.275,0.243,0.518,0.048,43.8,-0.22
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,전태현,25,-0.23,77,-0.13,-0.1,207,204,182,20,42,5,0,0,47,10,4,0,20,0,0,59,2,3,2,0.231,0.304,0.258,0.562,0.07,61.9,-0.23
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,카디네스,25,-0.23,86,0.37,-0.6,361,360,320,33,81,15,1,7,119,42,1,2,32,6,2,67,7,0,3,0.253,0.33,0.372,0.702,0.111,99.7,-0.23
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,홍대인,25,-0.24,14,-0.08,-0.16,5,5,5,3,1,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4,-0.014,-11.7,-0.24
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,송승환,25,-0.24,13,-0.12,-0.12,15,15,15,0,3,1,0,0,4,2,0,0,0,0,0,6,0,0,0,0.2,0.2,0.267,0.467,0.007,5.9,-0.24
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,양현종,25,-0.25,12,-0.17,-0.09,14,14,12,1,1,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0.083,0.214,0.083,0.297,-0.011,-10,-0.25
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,김웅빈,25,-0.25,10,-0.22,-0.03,31,30,24,1,2,0,0,0,2,0,0,0,6,0,0,7,2,1,0,0.083,0.267,0.083,0.35,0.027,25,-0.25
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,김재혁,25,-0.26,8,-0.02,-0.24,4,4,3,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0.25,0,0.25,0.011,8.6,-0.26
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,장재영,25,-0.28,10,-0.07,-0.2,16,16,14,1,2,0,0,0,2,2,1,0,2,0,0,7,0,0,0,0.143,0.25,0.143,0.393,0.018,15.8,-0.28
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,권광민,25,-0.28,15,-0.23,-0.05,18,18,18,2,3,1,0,0,4,0,0,0,0,0,0,5,1,0,0,0.167,0.167,0.222,0.389,-0.022,-17.8,-0.28
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,최준우,25,-0.29,78,-0.12,-0.17,192,189,152,17,29,0,0,3,38,22,2,0,30,3,0,47,3,3,4,0.191,0.328,0.25,0.578,0.09,73.3,-0.29
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,안주형,25,-0.3,8,-0.04,-0.26,18,18,17,3,4,0,0,1,7,2,0,1,1,0,0,5,1,0,0,0.235,0.278,0.412,0.69,0.096,76,-0.3
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,이상혁,25,-0.3,39,-0.1,-0.2,12,11,10,14,2,1,0,0,3,2,3,4,0,1,0,3,0,1,0,0.2,0.273,0.3,0.573,0.06,51.3,-0.3
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,권혁빈,25,-0.3,22,-0.22,-0.08,24,22,20,1,2,0,0,0,2,1,0,0,2,0,0,7,1,2,0,0.1,0.182,0.1,0.282,-0.033,-30.3,-0.3
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,박승욱,25,-0.31,54,-0.35,0.04,92,90,84,10,16,3,0,0,19,5,1,1,5,1,0,30,0,2,0,0.19,0.244,0.226,0.47,0.027,22.3,-0.31
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,전다민,25,-0.31,22,-0.17,-0.14,12,12,12,5,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0.083,0.083,0.083,0.166,-0.105,-88.6,-0.31
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,류현준,25,-0.32,17,-0.26,-0.06,22,22,22,2,3,0,0,0,3,1,0,0,0,0,0,6,1,0,0,0.136,0.136,0.136,0.272,-0.063,-53.5,-0.32
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,김대한,25,-0.32,16,-0.18,-0.14,37,37,36,1,7,0,0,1,10,5,0,1,1,0,0,6,0,0,0,0.194,0.216,0.278,0.494,0.023,20.6,-0.32
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,이우성,25,-0.33,105,0.23,-0.56,337,336,300,28,75,22,1,3,108,33,2,1,31,2,0,66,8,1,3,0.25,0.321,0.36,0.681,0.106,87.6,-0.33
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,송지후,25,-0.34,33,-0.58,0.24,86,86,80,5,14,3,0,1,20,8,0,1,3,2,0,18,3,0,1,0.175,0.221,0.25,0.471,0.02,18.2,-0.34
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,김인환,25,-0.36,10,-0.3,-0.06,26,26,25,2,2,0,0,1,5,3,0,0,1,0,0,9,1,0,0,0.08,0.115,0.2,0.315,-0.045,-39.4,-0.36
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,오태곤,25,-0.36,122,-0.26,-0.1,229,226,194,31,39,6,0,5,60,26,25,8,30,1,0,59,4,3,1,0.201,0.31,0.309,0.619,0.093,74.8,-0.36
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,이해승,25,-0.36,8,0,-0.36,5,5,5,2,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4,-0.014,-10.8,-0.36
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,유로결,25,-0.37,20,-0.14,-0.23,16,14,13,1,2,0,0,0,2,0,1,0,0,1,0,4,0,2,0,0.154,0.214,0.154,0.368,-0.012,-9.5,-0.37
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,푸이그,25,-0.37,40,-0.14,-0.23,172,172,156,17,33,2,0,6,53,20,0,0,12,4,0,38,1,0,0,0.212,0.285,0.34,0.625,0.082,74.5,-0.37
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,여동욱,25,-0.37,28,-0.25,-0.12,61,60,53,6,7,1,0,2,14,2,0,0,7,0,0,21,2,1,0,0.132,0.233,0.264,0.497,0.043,35.9,-0.37
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,김재성,25,-0.37,43,-0.38,0,73,72,63,3,8,2,0,0,10,4,0,0,6,2,0,23,0,1,1,0.127,0.222,0.159,0.381,0.004,3.3,-0.37
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,안중열,25,-0.39,33,0.01,-0.4,60,59,49,2,7,3,0,0,10,6,0,0,8,2,0,15,0,1,0,0.143,0.288,0.204,0.492,0.059,47.5,-0.39
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,조대현,25,-0.39,64,0.02,-0.4,90,84,75,7,14,4,0,0,18,11,0,0,7,2,0,22,0,6,0,0.187,0.274,0.24,0.514,0.051,41.5,-0.39
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,김찬형,25,-0.39,44,-0.56,0.17,78,77,73,4,13,2,0,0,15,5,0,0,3,1,0,13,3,1,0,0.178,0.221,0.205,0.426,0.007,5.5,-0.39
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,김태훈,25,-0.39,51,-0.33,-0.06,98,96,93,4,22,1,0,2,29,8,1,0,3,0,0,24,0,2,0,0.237,0.26,0.312,0.572,0.055,42.9,-0.39
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,정해원,25,-0.39,24,-0.57,0.18,46,46,40,5,3,0,0,0,3,0,0,0,5,1,0,14,4,0,0,0.075,0.196,0.075,0.271,-0.026,-22.6,-0.39
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,박시원,25,-0.41,52,-0.13,-0.28,60,59,54,12,11,2,0,1,16,4,1,0,5,0,0,18,1,1,0,0.204,0.271,0.296,0.567,0.064,50.7,-0.41
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,고영우,25,-0.43,14,-0.13,-0.3,26,25,23,4,5,1,0,0,6,2,0,0,2,0,0,6,2,1,0,0.217,0.28,0.261,0.541,0.057,51.4,-0.43
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,최승민,25,-0.46,19,-0.11,-0.35,6,6,5,6,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0.167,0,0.167,-0.049,-41.5,-0.46
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,강민성,25,-0.46,25,-0.43,-0.04,36,36,30,0,1,0,0,0,1,1,0,0,5,0,0,15,1,0,1,0.033,0.167,0.033,0.2,-0.047,-38.2,-0.46
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,김태진,25,-0.47,94,0.06,-0.53,304,302,279,27,65,11,2,5,95,25,1,1,20,0,1,53,6,2,3,0.233,0.281,0.341,0.622,0.077,67.8,-0.47
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,하재훈,25,-0.48,18,-0.44,-0.03,61,61,56,6,8,0,0,3,17,8,1,2,4,0,0,21,1,0,1,0.143,0.197,0.304,0.501,0.027,21.9,-0.48
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,추재현,25,-0.53,34,-0.22,-0.31,87,85,81,7,18,3,1,1,26,7,0,0,3,1,0,17,2,2,0,0.222,0.259,0.321,0.58,0.059,51.1,-0.53
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,김재현,25,-0.56,62,-0.32,-0.24,128,124,120,12,25,5,0,0,30,5,1,0,1,3,0,31,1,4,0,0.208,0.234,0.25,0.484,0.022,19.5,-0.56
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,홍종표,25,-0.64,62,-0.56,-0.08,85,81,73,16,12,0,0,0,12,3,1,2,7,0,0,23,1,4,1,0.164,0.235,0.164,0.399,0.008,6.9,-0.64
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,스톤,25,-0.64,22,-0.3,-0.34,93,93,87,4,21,0,0,2,27,15,0,0,5,0,0,24,2,0,1,0.241,0.28,0.31,0.59,0.066,59.9,-0.64
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,김동준,25,-0.65,36,-0.26,-0.39,100,99,93,8,22,3,0,2,31,10,1,1,5,1,0,30,2,1,0,0.237,0.283,0.333,0.616,0.075,62.4,-0.65
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,정훈,25,-0.65,77,-0.97,0.31,200,198,185,14,40,11,0,2,57,11,0,0,10,3,1,40,4,2,0,0.216,0.268,0.308,0.576,0.059,47,-0.65
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,임병욱,25,-0.66,52,-0.25,-0.41,140,139,133,12,31,4,3,2,47,13,1,0,5,0,0,33,3,1,1,0.233,0.259,0.353,0.612,0.068,61.8,-0.66
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,박세혁,25,-0.66,48,-0.32,-0.34,93,93,86,8,14,3,0,2,23,10,1,0,5,1,0,28,4,0,1,0.163,0.215,0.267,0.482,0.024,19.5,-0.66
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,윤정빈,25,-0.67,25,-0.31,-0.36,46,46,40,3,7,1,0,0,8,3,0,0,4,0,0,18,1,0,2,0.175,0.239,0.2,0.439,0.019,14.1,-0.67
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,김성욱,25,-0.72,56,-0.59,-0.13,132,131,123,10,24,6,0,2,36,13,1,2,7,1,0,35,2,1,0,0.195,0.244,0.293,0.537,0.046,37.5,-0.72
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,어준서,25,-0.81,116,0.88,-1.69,360,357,324,48,77,9,1,6,106,27,1,0,30,2,1,75,10,3,1,0.238,0.305,0.327,0.632,0.088,78.4,-0.81
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,서호철,25,-0.82,103,-0.34,-0.48,292,282,263,25,70,7,1,3,88,30,7,3,8,7,0,51,7,10,4,0.266,0.301,0.335,0.636,0.081,65.5,-0.82
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,박지환,25,-0.95,31,-0.64,-0.31,68,65,60,3,9,0,0,0,9,4,0,1,4,0,0,19,1,3,1,0.15,0.2,0.15,0.35,-0.017,-14.2,-0.95
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,김헌곤,25,-0.98,77,-0.6,-0.38,191,189,173,21,39,6,0,2,51,11,2,1,11,4,0,29,4,2,1,0.225,0.286,0.295,0.581,0.067,51.9,-0.98
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,최원준,25,-1.28,126,-0.13,-1.14,449,447,413,62,100,13,3,6,137,44,26,8,23,6,0,71,5,2,5,0.242,0.289,0.332,0.621,0.077,64.5,-1.28
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,김민석,25,-1.31,95,-0.8,-0.51,247,244,228,21,52,7,3,1,68,21,3,2,12,2,1,62,3,2,3,0.228,0.269,0.298,0.567,0.056,49.1,-1.31
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,안치홍,25,-1.34,66,-1.37,0.03,196,191,174,9,30,4,0,2,40,18,3,0,16,1,2,39,4,4,1,0.172,0.245,0.23,0.475,0.028,22.5,-1.34
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,박재현,25,-1.49,58,-0.89,-0.6,69,69,62,11,5,1,0,0,6,3,4,3,6,0,0,26,0,0,1,0.081,0.159,0.097,0.256,-0.046,-38.5,-1.49
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
